product_id,product_number,product_name,product_width,product_length,product_material,product_color,product_weight,product_packaging_weight,product_manufacturer,product_price,product_release_date
81,93529d22-429a-4a18-a04b-3205bf5a8ba6,"Crab - Back Fin Meat, Canned",84.94,30.13,plastic,Orange,173.321,5.54,Skibox,496.56,8/20/2015
82,c41b41c9-f587-4465-9482-f4b77a6f0eb9,Bagel - Everything Presliced,63.9,92.21,marble,Khaki,14.8566,7.96,Eabox,565.27,7/12/2006
83,35b93f85-e91f-40cf-97f6-79e19844d017,Bread - Raisin Walnut Oval,36.54,97.88,wood,Maroon,10.2318,6.18,Buzzshare,153.81,8/9/2009
84,ca5b9417-ceb9-4f8b-bd65-f676c9480c38,Gatorade - Xfactor Berry,13.9,68.77,fabric,Aquamarine,30.7306,7.88,Aibox,986.18,12/6/2005
85,138aa32a-63ff-4b26-856a-76e0b8179952,Veal Inside - Provimi,33.11,18.09,metal,Purple,70.0372,7.26,Riffwire,551.11,6/15/2007
86,f097fe6b-7e29-4a34-8f30-beb2654b21d4,Ostrich - Fan Fillet,81.61,11.17,glass,Aquamarine,144.284,8.17,Pixope,310.26,6/24/2014
87,926eafca-dc48-497e-894a-e534b59a7c46,"Beef - Rib Roast, Cap On",29.37,16.8,metal,Crimson,167.2146,,Trudoo,250.79,7/16/2000
88,26f4f6c1-44d4-4c9d-8312-c12eabdc3e16,Chocolate - Semi Sweet,55.31,35.8,crystal,Puce,171.0236,5.16,Trudoo,143.16,5/19/2018
89,14490243-ec45-48d5-94cc-ea02e7875a00,Dasheen,93.61,50.2,stone,Fuscia,145.3892,9.97,Gabtune,827.75,4/4/2011
90,1d17dc29-0fae-4d59-9c29-d8d903704f1e,Wine - Winzer Krems Gruner,48.02,30.54,wood,Khaki,165.5259,6.14,Zazio,372.68,12/5/2007
91,fd35dc46-4dd0-4214-b229-3897099acba8,Country Roll,62.17,20.76,glass,Crimson,162.4245,7.41,Pixope,455.55,10/29/2003
92,a7be8f1f-8b67-4260-ae64-615736354e74,Cheese - Comte,21.82,35.01,crystal,Orange,32.8135,6.34,Vimbo,395.72,9/25/2013
93,f67ae823-e19b-4882-9591-07f1c276b7fc,"Bread - Bagels, Mini",24.47,76.74,fabric,Indigo,143.8648,6.58,Trudoo,603.18,11/9/2003
94,035a356d-879a-455d-91fc-1e0f22dd8ccc,Wine - Magnotta - Belpaese,70.78,4.62,stone,Pink,30.8638,6.74,Layo,462.06,11/17/2015
95,1f55e52b-4031-4240-a934-1de68d171ae8,Cheese - Grie Des Champ,20.58,78.65,plastic,Blue,28.3884,9.68,Skinder,384.98,6/8/2008
96,d60ecae9-7bd7-400c-a68a-0a0a2258bb53,"Pepper - Paprika, Hungarian",72.61,59.23,wood,Puce,67.5568,9.9,Babbleset,933.61,2/4/2005
97,f4fbe647-4a0c-4a24-a185-6b9670bf7e3b,Nantucket - Orange Mango Cktl,63.97,22.68,stone,Yellow,63.5819,5.0,Flashset,224.64,11/2/2008
98,6c081e5e-f28d-463d-8a0e-78c26eb67a3b,"Pasta - Elbows, Macaroni, Dry",96.23,9.95,metal,Blue,26.3118,9.01,Youopia,266.78,7/26/2015
99,492bb909-9174-4550-a553-689e60cf1b6b,Milk - 2% 250 Ml,87.76,2.45,wood,Crimson,87.0419,8.72,Skalith,32.35,12/23/2007
100,11723592-12c4-4181-9468-fafaa46efc3a,"Lettuce - Romaine, Heart",56.05,59.1,stone,Turquoise,135.4462,5.7,Tagchat,211.72,5/17/2022
101,9297cd5e-77d4-4951-a951-47b13e1ada9b,Jameson Irish Whiskey,13.87,50.1,stone,Goldenrod,82.3679,7.09,Topiclounge,629.38,8/26/2014
102,04581671-946d-4e52-9d7a-5974f3024cff,Beer - Labatt Blue,10.42,51.81,fabric,Pink,21.4429,8.3,Demizz,279.76,4/15/2007
103,c100f5a3-694f-4b70-b9a2-7eec815e7c0a,Buttons,83.69,60.47,marble,Mauv,20.8649,5.7,Skimia,871.24,4/16/2019
104,07326887-cae2-40df-87bc-672ee03746ed,Sandwich Wrap,50.32,53.01,marble,Fuscia,49.3352,7.27,Thoughtstorm,919.44,4/24/2001
105,6646b42a-59fe-404c-b81c-94dd3c330075,"Pepper - Chipotle, Canned",82.65,23.43,glass,Indigo,116.0753,9.04,Oyope,708.46,8/8/2010
106,5345fecb-0151-4a8f-a242-9906dd536c2d,Turnip - Wax,34.38,44.27,plastic,Khaki,69.7837,9.17,Realbridge,117.44,1/4/2018
107,a058f821-d3c0-48b3-b988-54bb972aab5f,"Roe - Lump Fish, Red",35.48,99.86,sand,Puce,68.1012,5.71,Wikibox,988.35,5/19/2009
108,3ef6e29b-c17d-4f8f-a1a7-9ac4737e5895,"Napkin - Beverge, White 2 - Ply",97.15,31.08,fabric,Goldenrod,81.8827,7.11,Feedmix,575.31,12/23/2001
109,431b07d1-7ff6-4ab3-8af5-1b0366ca31d2,Creme De Menth - White,11.57,50.44,plastic,Purple,28.1156,5.45,Ozu,274.63,5/8/2018
110,e7d635ba-93e9-40cb-88f2-0c67e7709df2,Cheese - La Sauvagine,8.88,23.75,crystal,Fuscia,30.9543,9.65,Browsebug,503.31,5/20/2012
111,2fef81fd-2147-4758-bf1e-148dc104d260,"Dill - Primerba, Paste",17.82,96.24,marble,Indigo,83.7805,7.47,Gabspot,891.09,4/24/2021
112,04cac673-516b-48fe-aa0b-e6f789cd3650,Oil - Hazelnut,48.87,12.1,crystal,Puce,105.9495,7.32,Zoonoodle,743.15,1/7/2011
113,6d48ff9c-64ab-4dfd-8114-3c2907d80e49,Pasta - Orecchiette,48.23,71.55,wood,Aquamarine,145.0232,7.89,Quire,978.83,12/25/2016
114,7f420e39-bdf2-458c-ad99-9655ca4d96c1,Apron,94.51,53.76,plastic,Purple,109.4288,8.8,Oyope,200.43,9/25/2002
115,f5dad25f-5367-458b-a723-655153334610,"Marjoram - Dried, Rubbed",16.19,4.61,plastic,Pink,45.6822,7.13,Minyx,341.66,8/27/2016
116,1dcd5504-c83c-4c78-948b-63471b61f2bc,"Beans - Kidney, Red Dry",94.69,90.53,fabric,Goldenrod,195.547,5.41,Yotz,196.19,3/18/2015
117,987be298-35ef-47cb-9273-dc79c4b623ed,Nantucket Pine Orangebanana,44.79,96.84,metal,Khaki,150.3386,6.08,Meemm,740.54,10/2/2017
118,d16b2f52-bd1a-4992-8207-d4b8ad120dd9,"Butter - Salted, Micro",30.51,82.39,glass,Maroon,129.851,8.42,Leexo,911.52,10/5/2001
119,ce3649e0-2549-49b3-9602-a6081c5f9cb4,Anchovy In Oil,1.55,29.07,stone,Khaki,84.7973,9.35,Tambee,513.43,5/9/2022
120,6e276afd-29c8-4458-9c0d-099bad3c8dba,Salt And Pepper Mix - Black,38.86,26.26,stone,Mauv,74.4074,7.41,Realcube,613.53,11/13/2016
121,a8ccd5c2-5e15-4f35-8f97-10731082d69d,Bar - Granola Trail Mix Fruit Nut,5.65,12.87,wood,Yellow,177.1633,7.02,Rhynoodle,809.72,4/4/2004
122,d71e3b44-20f1-4c1d-8758-59cb167d2042,Flour - Cake,39.4,52.7,fabric,Yellow,144.1596,5.4,Photofeed,201.77,2/4/2001
123,b32e95e5-6f0d-4262-84e6-1c13737e91ca,Apples - Sliced / Wedge,21.26,35.49,wood,Fuscia,90.603,5.89,Fiveclub,225.36,12/21/2000
124,187280c1-8e2e-43c7-a0a9-385d81b4c6f5,"Beans - Kidney, Red Dry",78.43,54.19,metal,Aquamarine,56.4025,8.47,Kwimbee,919.27,11/20/2016
125,0f9f3c50-71fe-443e-8a1a-2f92b0875e13,Beef Ground Medium,26.15,75.95,crystal,Aquamarine,70.0552,6.96,Topicstorm,357.13,9/16/2007
126,17e473c3-f27f-4406-bbbc-9782613051da,"Mushroom - Chanterelle, Dry",86.14,48.62,crystal,Puce,22.0534,9.87,Avaveo,449.68,5/22/2011
127,b55684dc-2436-41e2-bad5-5f27a2c2d4c6,Breakfast Quesadillas,41.03,66.2,crystal,Khaki,119.7987,5.27,Centimia,289.45,4/6/2008
128,d18ef17c-d78a-4c6a-a90a-e1797b3013a2,Crackers Cheez It,78.41,29.74,marble,Turquoise,82.3865,8.99,Tambee,700.21,3/18/2008
129,a51316f6-3248-42d2-bf40-1182466046e2,Cheese - St. Andre,43.53,69.12,glass,Pink,40.8249,5.16,Brightdog,724.16,7/16/2015
130,4de5d9d6-d69a-436a-8bff-4d71b7c2b127,Pie Pecan,97.86,81.31,sand,Turquoise,190.7799,8.79,Shuffletag,866.09,7/24/2001
131,5c6ecf3d-9a9a-4ef9-98a7-ad440677deee,Spice - Peppercorn Melange,53.49,37.69,marble,Khaki,21.1493,7.38,Blogtags,298.08,2/12/2020
132,26adc8d7-ef79-4f72-8655-e27e930c2558,Brandy - Bar,98.84,12.14,sand,Orange,135.9719,5.92,Roomm,567.06,4/2/2020
133,f6ad56cc-27ba-4a61-896b-8bdc04563db9,Sausage - Breakfast,93.95,25.86,plastic,Fuscia,41.723,7.58,Geba,748.66,7/15/2001
134,53802354-e741-4639-ba57-96f225a5144f,Wine - Blue Nun Qualitatswein,65.53,91.18,plastic,Yellow,186.1504,9.12,Skivee,357.44,4/12/2013
135,007376e5-755c-47e5-aa91-d31c1c54892c,"Corn - Cream, Canned",4.58,73.57,wood,Orange,142.9144,6.21,Shufflebeat,480.98,2/10/2004
136,51835a8b-9908-4f62-85a6-bfc8b604c591,Squid - U 5,68.37,61.86,stone,Turquoise,37.8656,9.88,Vimbo,321.59,8/3/2006
137,09f62134-34c4-4bc4-ba48-a5596192b844,"Crab - Dungeness, Whole, live",62.39,2.53,plastic,Blue,34.3056,7.75,Kayveo,868.92,10/20/2017
138,87722b6d-f854-4420-867c-b6d78e90d38f,Ice Cream - Super Sandwich,62.77,89.4,glass,Fuscia,47.0077,9.87,Bubblebox,513.98,2/22/2012
139,e68db480-6f1c-4af7-a730-6963cbf99c98,Yoghurt Tubes,5.15,68.55,wood,Indigo,193.9037,8.31,Edgeify,404.87,12/15/2009
140,038b3d7f-580e-495f-99b1-917dfc83b225,Soup Knorr Chili With Beans,77.71,83.75,crystal,Aquamarine,82.9221,7.74,Voonix,333.55,7/31/2021
141,023a7189-c002-4231-b855-69b0f86a43dc,"Lentils - Red, Dry",27.14,50.98,plastic,Green,112.2733,6.97,Oyoyo,57.04,12/4/2011
142,37e4f6ae-7c33-4680-ba37-b0abb6f3ac42,Grapes - Black,11.03,70.61,stone,Indigo,114.8654,6.82,Plajo,165.4,11/9/2007
143,b3f177fd-78df-4b62-becc-31d8d3fb5155,Gherkin - Sour,77.14,20.34,marble,Orange,91.7966,7.68,Jazzy,221.16,1/1/2018
144,f1675552-5f82-4bdd-a3b9-db9c8f5d7929,Meldea Green Tea Liquor,22.75,53.37,metal,Green,153.5188,8.17,Gabcube,977.67,5/13/2019
145,c1de199e-c8d8-486b-baa4-3878b9fb4f12,Soup - Campbells Tomato Ravioli,10.81,61.46,fabric,Red,97.4766,9.33,Pixope,790.29,12/10/2005
146,6f3df949-f314-4b4a-955f-a3284a9d1570,Pate - Peppercorn,86.68,2.59,sand,Goldenrod,14.5057,7.58,Kwideo,113.83,10/15/2004
147,dbd9c6a5-48b5-44a1-8641-9e3c8938d516,Pumpkin - Seed,25.11,63.26,wood,Indigo,177.7885,6.61,Jayo,234.32,4/10/2001
148,c6a257fd-3f60-4ebd-a651-d005853fcf20,Salt - Seasoned,61.68,29.7,wood,Crimson,110.9393,7.27,Skyvu,565.53,12/9/2022
149,96bd1484-92af-4e72-a42d-f005264f4597,Cookie - Oatmeal,33.69,7.62,marble,Purple,15.1412,6.22,Viva,780.19,2/27/2005
150,460d59a2-1cd0-4ee6-912c-eae001d21123,Gooseberry,3.46,43.85,marble,Red,116.1006,5.84,Livetube,985.63,3/20/2017
151,0d766512-1a6f-472a-b7fc-fd32d276c498,"Capon - Breast, Wing On",25.86,91.56,plastic,Aquamarine,100.8563,9.23,Zava,728.87,9/18/2000
152,12183f05-75af-49cf-b869-2a353f1b59c4,Magnotta - Bel Paese White,34.96,9.87,stone,Violet,60.3947,,Gabcube,523.07,12/28/2012
153,582ae7b7-785f-4e09-8c2a-29e2bcc8bfe1,Rabbit - Legs,11.26,14.99,sand,Turquoise,72.0889,5.09,Gabtype,108.65,6/10/2017
154,0894d125-1ba5-4518-b722-3829a34a0861,Pepsi - 600ml,75.5,3.17,marble,Indigo,41.2691,5.8,Photolist,120.9,8/4/2003
155,a7ef2cb1-04c7-4329-9e10-8261cae77c07,Sauce - Thousand Island,49.12,76.3,glass,Yellow,112.5708,6.1,Rhynoodle,200.89,8/16/2004
156,0a5c9d7e-3648-46be-a5f7-add4829bcb33,Crush - Cream Soda,73.29,47.11,wood,Aquamarine,175.0406,7.14,Meevee,585.64,5/19/2013
157,3b9fef37-1fb6-4beb-be0e-d1f7b5c6b5c4,Compound - Mocha,55.23,39.93,crystal,Teal,191.2765,9.21,Quatz,204.61,7/21/2021
158,31c7ed4f-fffd-4486-a40a-fa41d730049c,Muffin Mix - Blueberry,16.03,88.15,stone,Blue,116.5907,6.91,Babbleblab,862.67,11/17/2011
159,a73c86d9-a58a-4e1a-acaa-274983d3010c,Table Cloth 120 Round White,87.23,78.35,glass,Crimson,167.4657,5.18,Mycat,184.92,9/27/2021
160,f819cbd7-2668-4782-a0ce-54b8fbb4d39c,Lettuce - Baby Salad Greens,7.64,99.75,fabric,Yellow,63.0815,9.31,Meemm,657.35,1/20/2019
161,ff1546bc-8287-4dca-841e-4a636f6dbddd,Stock - Fish,20.5,73.56,marble,Indigo,120.9108,6.58,Avamba,200.32,1/18/2014
162,922efa17-1c2d-4433-a642-67085894ffe3,Butcher Twine 4r,23.27,12.82,fabric,Indigo,129.9744,6.19,Einti,942.65,10/2/2013
163,fed91310-4eb9-4c25-a86c-f72353ac1681,Blue Curacao - Marie Brizard,64.99,14.3,wood,Indigo,12.8035,9.41,Vinder,104.76,4/8/2006
164,b99f00f9-121c-4227-a9b6-30574de00aba,Chinese Foods - Plain Fried Rice,6.71,20.11,fabric,Mauv,67.5091,9.37,Linklinks,430.94,9/16/2007
165,a77a1ac3-215d-472d-83e4-e612278e0916,Wine - Pinot Noir Pond Haddock,62.11,56.41,crystal,Violet,147.4958,8.33,Skalith,481.45,2/14/2009
166,92698a41-af42-47d2-b460-27b3c3225dbb,"Gingerale - Schweppes, 355 Ml",87.93,48.11,fabric,Fuscia,177.9398,6.86,Vitz,611.64,4/29/2021
